ayah	i	form
2:60	14	31c1b41ca4d8
2:60	15	b6efd777c60c
2:60	16	742520775a7f
2:60	17	d2655d7e15f7
2:60	18	df3ab092cbc6
2:60	19	18588488e3a8
2:60	20	1f6fa6f69d18
2:60	21	178bcc5be6d6
2:60	22	bdd1703602e8
2:60	23	25c0771c31a7
2:60	24	71becd53fb45
2:60	25	f04ae4c55ba7
2:60	26	058a4b6b3c2e
2:60	27	009c2b89a8d9
2:61	0	c8f7fab0d5cb
2:61	1	d4b042cb4aaa
2:61	2	d0fb39323e31
2:61	3	094a367b0262
2:61	4	6c6ea9ab0d39
2:61	5	86a672517894
2:61	6	a8a84af9b4c3
2:61	7	9f6ae3ddc0d0
2:61	8	b347ff931e27
2:61	9	3ab176e8c7af
2:61	10	19a99d32cddd
2:61	11	2036b80400fe
